Date,Open,High,Low,Close,Adj Close,Volume
2013-03-13,13357.950195,13400.360352,13344.070313,13400.360352,13400.360352,13304600
2013-03-14,13423.459961,13480.389648,13422.990234,13473.049805,13473.049805,17399600
2013-03-15,13484.360352,13493.269531,13408.809570,13486.389648,13486.389648,23738200
2013-03-18,13388.070313,13528.389648,13309.110352,13514.849609,13514.849609,13031000
2013-03-19,13505.500000,13525.799805,13413.679688,13438.780273,13438.780273,17304400
2013-03-20,13452.480469,13527.769531,13374.950195,13408.790039,13408.790039,18213000
2013-03-21,13418.089844,13438.089844,13327.450195,13357.349609,13357.349609,15942400
2013-03-22,13337.750000,13400.740234,13262.429688,13358.860352,13358.860352,18731000
2013-03-25,13416.730469,13532.320313,13314.629883,13339.629883,13339.629883,13190600
2013-03-26,13364.589844,13434.009766,13337.379883,13391.500000,13391.500000,13074600
2013-03-27,13423.559570,13434.339844,13213.769531,13250.540039,13250.540039,14953600
2013-03-28,13241.019531,13348.969727,13236.849609,13322.259766,13322.259766,11787800
2013-04-02,13333.080078,13540.379883,13327.730469,13522.059570,13522.059570,14038600
2013-04-03,13519.030273,13586.280273,13437.730469,13447.700195,13447.700195,12868000
2013-04-04,13461.709961,13468.059570,13190.280273,13208.759766,13208.759766,16710200
2013-04-05,13207.309570,13210.059570,12877.000000,12922.900391,12922.900391,17446800
2013-04-08,12952.700195,13071.990234,12952.700195,12988.990234,12988.990234,11725800
2013-04-09,13025.400391,13060.080078,12932.129883,12977.410156,12977.410156,12738800
2013-04-10,13022.059570,13287.379883,13022.059570,13268.070313,13268.070313,14529000
2013-04-11,13270.139648,13407.080078,13267.419922,13393.259766,13393.259766,13027200
2013-04-12,13364.219727,13364.219727,13255.040039,13307.889648,13307.889648,10469200
2013-04-15,13317.540039,13331.169922,13151.320313,13188.200195,13188.200195,13237000
2013-04-16,13149.820313,13197.160156,13038.230469,13103.290039,13103.290039,11546400
2013-04-17,13163.889648,13256.799805,12952.629883,12988.150391,12988.150391,17796600
2013-04-18,12985.759766,13076.830078,12912.250000,12970.719727,12970.719727,16251600
2013-04-19,13013.080078,13077.570313,12980.740234,13019.089844,13019.089844,15898000
2013-04-22,13085.700195,13203.959961,13038.889648,13093.230469,13093.230469,13007400
2013-04-23,13105.129883,13355.250000,13085.179688,13345.190430,13345.190430,14555800
2013-04-24,13362.360352,13410.540039,13260.349609,13380.099609,13380.099609,13256000
2013-04-25,13392.370117,13461.780273,13371.349609,13419.660156,13419.660156,13896800
2013-04-26,13418.019531,13424.629883,13295.480469,13349.660156,13349.660156,11243200
2013-04-29,13372.620117,13429.589844,13347.830078,13398.740234,13398.740234,10593000
2013-04-30,13436.709961,13530.570313,13396.049805,13443.709961,13443.709961,17237000
2013-05-02,13449.280273,13532.230469,13405.490234,13508.400391,13508.400391,18758800
2013-05-03,13519.040039,13664.929688,13506.230469,13643.330078,13643.330078,20412400
2013-05-06,13662.639648,13710.040039,13654.059570,13695.509766,13695.509766,10464600
2013-05-07,13715.860352,13849.440430,13713.240234,13788.200195,13788.200195,22240600
2013-05-08,13796.830078,13836.200195,13710.459961,13807.440430,13807.440430,21831800
2013-05-09,13804.879883,13846.919922,13784.209961,13830.360352,13830.360352,9594200
2013-05-10,13844.849609,13942.610352,13834.650391,13893.500000,13893.500000,17219000
2013-05-13,13891.580078,13929.780273,13814.040039,13873.299805,13873.299805,13969000
2013-05-14,13895.000000,13971.669922,13847.669922,13971.059570,13971.059570,16131200
2013-05-15,13980.330078,14059.660156,13980.330078,14055.530273,14055.530273,14511000
2013-05-16,14040.820313,14059.259766,13979.730469,14051.429688,14051.429688,18456400
2013-05-17,14041.719727,14080.490234,13977.259766,14070.629883,14070.629883,16502400
2013-05-20,null,null,null,null,null,null
2013-05-21,14151.250000,14200.910156,14078.589844,14200.910156,14200.910156,14785600
2013-05-22,14192.799805,14287.019531,14157.889648,14258.830078,14258.830078,18221000
2013-05-23,14058.980469,14060.360352,13879.360352,13984.519531,13984.519531,19962800
2013-05-24,14021.940430,14054.540039,13936.209961,13987.349609,13987.349609,14533600
2013-05-27,13998.309570,14074.519531,13998.309570,14066.549805,14066.549805,7191800
2013-05-28,14100.200195,14325.150391,14100.200195,14303.830078,14303.830078,15534800
2013-05-29,14279.339844,14280.009766,14099.780273,14111.580078,14111.580078,14098600
2013-05-30,14074.370117,14166.839844,14067.500000,14135.950195,14135.950195,9549800
2013-05-31,14140.480469,14140.759766,13988.559570,14093.589844,14093.589844,19955000
2013-06-03,14058.690430,14082.709961,13852.200195,13950.969727,13950.969727,14922600
2013-06-04,14004.639648,14090.599609,13976.679688,14006.299805,14006.299805,12970000
2013-06-05,13973.259766,13991.730469,13787.339844,13790.700195,13790.700195,12340600
2013-06-06,13769.809570,13860.250000,13706.839844,13706.839844,13706.839844,12546000
2013-06-07,13716.910156,13883.740234,13601.980469,13846.799805,13846.799805,15778800
2013-06-10,13862.990234,13960.400391,13854.089844,13931.599609,13931.599609,14710600
2013-06-11,13906.209961,13909.730469,13729.259766,13812.179688,13812.179688,12636600
2013-06-12,13798.389648,13980.690430,13795.320313,13888.080078,13888.080078,12933400
2013-06-13,13783.559570,13844.750000,13647.179688,13833.519531,13833.519531,22586200
2013-06-14,13889.450195,14043.679688,13880.629883,13964.790039,13964.790039,13005800
2013-06-17,14005.799805,14115.959961,14005.730469,14048.000000,14048.000000,11170000
2013-06-18,14050.530273,14148.459961,14043.879883,14123.780273,14123.780273,12095200
2013-06-19,14152.719727,14166.570313,14060.230469,14119.719727,14119.719727,14302000
2013-06-20,14018.179688,14018.179688,13726.919922,13775.969727,13775.969727,19389600
2013-06-21,13792.000000,13879.860352,13575.809570,13578.139648,13578.139648,26250000
2013-06-24,13566.299805,13571.790039,13236.089844,13263.360352,13263.360352,22308200
2013-06-25,13319.940430,13539.370117,13319.940430,13488.679688,13488.679688,16218000
2013-06-26,13506.669922,13666.790039,13494.660156,13649.629883,13649.629883,15804800
2013-06-27,13664.480469,13842.089844,13656.679688,13805.179688,13805.179688,15187400
2013-06-28,13843.549805,13881.690430,13625.150391,13706.440430,13706.440430,15134600
2013-07-01,13768.910156,13851.019531,13690.129883,13806.400391,13806.400391,15514400
2013-07-02,13828.679688,13838.160156,13688.730469,13744.519531,13744.519531,15062600
2013-07-03,13690.860352,13690.860352,13533.309570,13608.490234,13608.490234,14447000
2013-07-04,13649.419922,13878.230469,13648.360352,13859.610352,13859.610352,13523400
2013-07-05,13873.750000,13937.009766,13692.679688,13716.080078,13716.080078,15589000
2013-07-08,13751.360352,13895.429688,13751.360352,13848.849609,13848.849609,11745600
2013-07-09,13892.549805,13995.969727,13892.549805,13970.209961,13970.209961,13802400
2013-07-10,13959.139648,13998.549805,13837.559570,13938.980469,13938.980469,15403200
2013-07-11,13991.950195,14098.150391,13973.580078,14000.519531,14000.519531,16040000
2013-07-12,14040.730469,14065.709961,13982.000000,14014.139648,14014.139648,12620600
2013-07-15,14038.339844,14098.440430,13983.570313,14044.450195,14044.450195,10227200
2013-07-16,14058.320313,14071.790039,13972.870117,13998.309570,13998.309570,11205000
2013-07-17,14021.490234,14045.320313,13897.900391,14005.580078,14005.580078,12030400
2013-07-18,14016.070313,14205.299805,14010.969727,14205.299805,14205.299805,14608200
2013-07-19,14190.110352,14245.780273,14148.480469,14185.040039,14185.040039,11257200
2013-07-22,14193.509766,14206.629883,14105.929688,14143.309570,14143.309570,10920200
2013-07-23,14163.219727,14171.009766,14102.169922,14123.679688,14123.679688,10812600
2013-07-24,14145.129883,14220.059570,14075.330078,14191.070313,14191.070313,14159400
2013-07-25,14194.139648,14251.469727,14147.150391,14251.469727,14251.469727,16105600
2013-07-26,14282.030273,14327.160156,14182.389648,14208.059570,14208.059570,10454600
2013-07-29,14240.839844,14300.389648,14240.110352,14266.419922,14266.419922,9332600
2013-07-30,14294.540039,14373.150391,14278.980469,14362.790039,14362.790039,12693700
2013-07-31,14362.459961,14424.849609,14310.009766,14352.429688,14352.429688,10589600
2013-08-01,14400.219727,14573.200195,14400.219727,14573.200195,14573.200195,16502700
2013-08-02,14580.919922,14637.669922,14551.179688,14606.110352,14606.110352,10181600
2013-08-05,14628.490234,14676.200195,14621.059570,14654.190430,14654.190430,10652400
2013-08-06,14652.639648,14696.570313,14566.190430,14604.429688,14604.429688,18038000
2013-08-07,14581.889648,14612.500000,14491.179688,14607.940430,14607.940430,16135400
2013-08-08,14632.049805,14682.950195,14597.759766,14682.690430,14682.690430,12393100
2013-08-09,14691.959961,14759.120117,14644.620117,14733.759766,14733.759766,12686800
2013-08-12,14748.360352,14774.730469,14625.809570,14719.080078,14719.080078,10996100
2013-08-13,14726.440430,14841.769531,14726.440430,14779.839844,14779.839844,13174100
2013-08-14,14790.900391,14904.320313,14756.629883,14855.419922,14855.419922,14996700
2013-08-15,14843.059570,14861.690430,14654.570313,14717.589844,14717.589844,12250500
2013-08-16,14718.580078,14765.809570,14664.919922,14762.870117,14762.870117,13380000
2013-08-19,14767.929688,14781.669922,14673.929688,14728.599609,14728.599609,10546600
2013-08-20,14685.379883,14685.379883,14535.179688,14617.969727,14617.969727,14636500
2013-08-21,14603.980469,14636.280273,14557.469727,14594.740234,14594.740234,10492500
2013-08-22,14587.480469,14777.030273,14587.480469,14748.160156,14748.160156,10888000
2013-08-23,14750.019531,14874.839844,14715.150391,14839.200195,14839.200195,10024500
2013-08-26,14839.839844,14846.320313,14730.639648,14809.360352,14809.360352,5819600
2013-08-27,14768.179688,14773.040039,14495.129883,14517.480469,14517.480469,12637200
2013-08-28,14451.179688,14451.179688,14239.759766,14325.469727,14325.469727,14344100
2013-08-29,14356.429688,14473.690430,14356.429688,14448.379883,14448.379883,10510100
2013-08-30,14471.700195,14499.059570,14384.360352,14386.160156,14386.160156,11047900
2013-09-02,14487.790039,14655.080078,14487.790039,14636.980469,14636.980469,8885200
2013-09-03,14651.179688,14667.730469,14532.620117,14551.160156,14551.160156,12832000
2013-09-04,14560.370117,14570.469727,14381.139648,14515.419922,14515.419922,14793100
2013-09-05,14525.480469,14610.530273,14511.719727,14610.030273,14610.030273,12539800
2013-09-06,14594.549805,14607.330078,14483.299805,14588.040039,14588.040039,13475800
2013-09-09,14585.620117,14650.440430,14553.969727,14645.209961,14645.209961,9608500
2013-09-10,14707.480469,14854.209961,14704.700195,14833.519531,14833.519531,15646100
2013-09-11,14841.280273,14909.440430,14838.440430,14877.959961,14877.959961,10658900
2013-09-12,14896.450195,14911.129883,14781.469727,14823.519531,14823.519531,12048800
2013-09-13,14813.400391,14897.440430,14779.830078,14840.299805,14840.299805,18368600
2013-09-16,14917.830078,15034.879883,14913.330078,15004.190430,15004.190430,13637500
2013-09-17,14999.589844,15001.559570,14905.389648,14923.849609,14923.849609,10172900
2013-09-18,14923.650391,15031.269531,14918.240234,15031.269531,15031.269531,13708000
2013-09-19,15114.480469,15188.179688,15036.709961,15059.150391,15059.150391,14171200
2013-09-20,15028.929688,15074.019531,15013.009766,15021.360352,15021.360352,19785100
2013-09-23,15034.490234,15058.879883,14922.400391,14966.219727,14966.219727,9732000
2013-09-24,14976.459961,15000.700195,14935.690430,14981.990234,14981.990234,10780700
2013-09-25,14973.080078,15003.480469,14918.919922,15002.719727,15002.719727,10019300
2013-09-26,15023.190430,15053.370117,14973.339844,15042.179688,15042.179688,10154200
2013-09-27,15052.990234,15110.040039,15021.339844,15077.809570,15077.809570,10163900
2013-09-30,15000.440430,15034.269531,14927.599609,15034.269531,15034.269531,13753200
2013-10-01,15050.370117,15174.540039,15050.370117,15174.540039,15174.540039,11973500
2013-10-02,15156.769531,15187.690430,15089.049805,15126.030273,15126.030273,11980800
2013-10-04,15110.019531,15149.129883,15019.339844,15129.179688,15129.179688,10166100
2013-10-07,15107.200195,15114.820313,14985.980469,15109.629883,15109.629883,12697600
2013-10-08,15115.919922,15129.639648,15056.870117,15089.759766,15089.759766,17524900
2013-10-09,15059.559570,15059.559570,14914.669922,14966.950195,14966.950195,14949700
2013-10-10,15000.660156,15171.589844,14993.000000,15171.589844,15171.589844,14118700
2013-10-11,15192.209961,15236.940430,15140.870117,15235.040039,15235.040039,13321500
2013-10-14,15219.599609,15252.309570,15166.549805,15252.309570,15252.309570,9704600
2013-10-15,15290.299805,15462.169922,15290.299805,15422.870117,15422.870117,16301000
2013-10-16,15417.000000,15449.480469,15319.690430,15449.230469,15449.230469,15006100
2013-10-17,15440.919922,15479.330078,15390.589844,15479.129883,15479.129883,14701700
2013-10-18,15536.599609,15700.370117,15524.629883,15700.290039,15700.290039,16267800
2013-10-21,15717.339844,15808.070313,15698.370117,15800.070313,15800.070313,14856200
2013-10-22,15796.269531,15853.599609,15739.919922,15810.509766,15810.509766,13512900
2013-10-23,15795.169922,15807.089844,15704.379883,15764.269531,15764.269531,14717300
2013-10-24,15793.179688,15858.080078,15777.719727,15846.209961,15846.209961,18288400
2013-10-25,15820.589844,15860.440430,15772.490234,15860.440430,15860.440430,13906200
2013-10-28,15885.900391,15921.360352,15797.519531,15819.429688,15819.429688,10884700
2013-10-29,15793.830078,15868.089844,15781.580078,15868.089844,15868.089844,11618400
2013-10-30,15892.070313,15982.089844,15892.070313,15939.919922,15939.919922,11452000
2013-10-31,15906.389648,15993.250000,15888.190430,15989.769531,15989.769531,14173500
2013-11-01,16002.530273,16078.230469,15940.490234,16006.940430,16006.940430,9723000
2013-11-04,16026.700195,16117.219727,16026.700195,16097.240234,16097.240234,11719400
2013-11-05,16105.509766,16150.330078,16048.759766,16091.169922,16091.169922,17518000
2013-11-06,16101.000000,16243.280273,16099.719727,16216.889648,16216.889648,19250800
2013-11-07,16202.639648,16283.349609,16090.830078,16122.120117,16122.120117,17301500
2013-11-08,16079.950195,16089.070313,15903.690430,16069.250000,16069.250000,18390400
2013-11-11,16080.360352,16208.349609,16078.070313,16194.599609,16194.599609,12014300
2013-11-12,16184.690430,16205.389648,16052.480469,16062.719727,16062.719727,13246600
2013-11-13,16051.059570,16056.740234,15811.089844,15916.799805,15916.799805,22283600
2013-11-14,15984.179688,16091.740234,15984.179688,16084.259766,16084.259766,13444300
2013-11-15,16088.820313,16136.870117,16022.669922,16096.759766,16096.759766,12828100
2013-11-18,16101.570313,16269.429688,16098.230469,16215.740234,16215.740234,29197900
2013-11-19,16183.559570,16206.919922,16096.030273,16206.919922,16206.919922,15541600
2013-11-20,16183.009766,16229.110352,16146.360352,16191.570313,16191.570313,16577500
2013-11-21,16149.839844,16149.839844,16047.580078,16099.099609,16099.099609,16425700
2013-11-22,16110.580078,16168.790039,16098.230469,16149.169922,16149.169922,18782800
2013-11-25,16210.469727,16251.700195,16210.389648,16229.589844,16229.589844,14529900
2013-11-26,16235.580078,16247.839844,16127.790039,16191.290039,16191.290039,53827800
2013-11-27,16204.700195,16246.540039,16181.129883,16245.830078,16245.830078,15074300
2013-11-28,16239.219727,16312.809570,16239.219727,16281.290039,16281.290039,11970500
2013-11-29,16271.400391,16351.709961,16261.910156,16334.280273,16334.280273,13798400
2013-12-02,16341.099609,16418.330078,16316.519531,16396.039063,16396.039063,17296400
2013-12-03,16399.640625,16406.580078,16069.559570,16075.519531,16075.519531,17779400
2013-12-04,16061.820313,16112.410156,15882.450195,15965.740234,15965.740234,17998600
2013-12-05,15923.209961,15981.410156,15847.040039,15864.929688,15864.929688,18110100
2013-12-06,15887.450195,15980.480469,15830.669922,15955.480469,15955.480469,12599600
2013-12-09,15997.900391,16059.389648,15965.099609,16046.870117,16046.870117,11650900
2013-12-10,16055.889648,16106.599609,15907.429688,15954.169922,15954.169922,14536600
2013-12-11,15936.059570,16104.240234,15905.120117,16021.459961,16021.459961,12818700
2013-12-12,15973.900391,16024.519531,15851.200195,15901.240234,15901.240234,15040500
2013-12-13,15893.599609,15940.650391,15834.509766,15898.860352,15898.860352,11113400
